행정구역별,연령별,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자
경기도,65 - 69세,93472,121591,132154,161129,155571,184610,205630,223793,211582,229199,227286,242801,239025,254515,258300,273544,291342,307878
경기도,70 - 74세,54085,87085,90544,125865,124663,163088,156470,191436,159523,192487,165414,196369,176951,205843,189352,216122,199991,227738
경기도,75 - 79세,33019,58237,46981,83048,75760,119366,108863,154740,116975,162688,128798,175389,134673,181480,138510,184737,143197,188336
경기도,80 - 84세,15159,30973,24017,48901,34224,72635,54574,101208,61754,111183,67803,118077,74832,127007,82160,136032,88134,142120
경기도,85세이상,6433,19202,10700,29264,18492,50158,27540,77554,30195,83671,33365,90409,37038,98507,42158,108945,48037,121312
강원도,0 - 4세,50197,46136,37147,34402,31913,29934,29681,28364,28676,27631,26958,25797,25640,24549,24485,23456,23331,22257
강원도,5 - 9세,53870,48625,49716,46014,37512,34396,32755,30576,32878,30823,32368,30621,31536,29970,31058,29501,30432,29075
강원도,10 - 14세,49973,46653,52152,47617,49675,46039,37782,34611,35129,32452,34317,31595,33589,31034,32744,30371,32728,30591
강원도,15 - 19세,62650,57315,49917,44726,55000,47384,52068,45688,50246,44083,47915,41935,45359,39861,42385,37613,38538,34196
강원도,20 - 24세,65060,51619,61130,47123,54670,38314,62790,45131,62987,46397,61508,45752,60397,45095,58406,44329,56128,43058
강원도,25 - 29세,58008,54272,48540,43951,47241,38260,45570,34744,46644,35514,48381,36498,49825,36919,50362,37600,51128,38038
강원도,30 - 34세,60307,56315,55808,53428,46584,44827,46803,41749,45018,39526,42731,36958,41343,35516,41162,35202,41298,35188
강원도,35 - 39세,63551,61983,59602,55860,56133,54017,49940,47821,50256,48110,50391,48288,50306,47872,49118,46214,47094,43744
강원도,40 - 44세,66131,62510,62369,59520,60341,56836,60850,56474,57895,53947,55547,52558,52901,50511,50936,48813,50766,49321
강원도,45 - 49세,49997,47118,64012,61281,61751,59726,65031,59704,65377,60666,65585,60330,64550,59398,63420,58767,61442,57543
강원도,50 - 54세,35326,35879,48109,46300,62321,61700,65544,62855,63750,60031,62397,58866,63047,59399,64518,61087,66334,61857
강원도,55 - 59세,36241,40040,33955,36029,46372,46644,66279,65586,69577,69272,70338,70220,70108,69807,69326,68061,66983,65542
강원도,60 - 64세,36501,41105,34255,39813,33319,36330,47060,47781,53218,53256,56432,55607,61442,60381,64683,64037,68011,68163
강원도,65 - 69세,25768,32763,33173,39736,32575,39487,33441,36918,33055,36537,35940,39313,37366,40228,41131,43412,47290,48783
강원도,70 - 74세,15347,24382,22348,30863,29868,38179,31766,39379,31046,37865,31015,36965,31587,36985,32083,36481,31744,36279
강원도,75 - 79세,10056,16606,11654,20900,17227,27583,24329,34003,25390,35325,26881,37303,27142,37513,27293,37337,27602,37111
강원도,80 - 84세,4962,9461,6356,12405,7894,17345,10548,21366,12020,22822,13632,24429,15260,26254,16822,27973,18146,29332
강원도,85세이상,2026,5471,3023,7536,4679,11574,6004,17049,6299,18033,6707,19308,7206,20495,7785,22156,8679,24011
충청북도,0 - 4세,52360,47504,38232,35184,35693,33565,35481,34178,34795,33505,33083,31848,31660,30446,30021,28655,27894,26241
충청북도,5 - 9세,57333,50323,51960,47469,39447,36444,36685,34214,37336,34907,37142,34953,36546,34737,36251,35012,35778,34603
충청북도,10 - 14세,51150,46104,56285,49839,53085,48668,40144,36707,37639,34551,37130,34317,36866,34136,36486,33755,36949,34457
충청북도,15 - 19세,62246,59011,52483,46211,59054,51139,55891,50648,54018,49051,50954,45861,48510,43290,46116,41084,42301,38048
충청북도,20 - 24세,66196,58044,61919,53037,53167,43788,62172,51242,65689,53329,65217,53500,65165,52494,64204,51121,62251,50420
